#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1039	1039	1040	1040	1040	1040	1040	1040	7	24
1039	1039	1040	1040	1040	1040	1041	1041	7	24
1057	1039	1058	1040	1040	1040	1040	1040	7	18
1057	1039	1058	1040	1040	1040	1041	1041	7	18
1057	1039	1058	1040	1058	1058	1040	1040	7	12
1057	1039	1058	1040	1058	1058	1041	1041	7	12
1057	1057	1058	1058	1058	1058	1040	1040	7	4
1057	1057	1058	1058	1058	1058	1041	1041	7	4
1022	1004	1022	1004	1022	1022	1005	1005	8	57
1022	1004	1022	1004	1023	1023	1005	1005	8	57
1022	1022	1022	1022	1022	1022	1005	1005	8	52
1022	1022	1022	1022	1022	1022	1023	1023	8	46
1022	1022	1022	1022	1023	1023	1005	1005	8	52
1022	1022	1022	1022	1023	1023	1023	1023	8	46
1040	1022	1040	1022	1022	1022	1023	1023	8	41
1040	1022	1040	1022	1023	1023	1023	1023	8	41
1040	1022	1040	1022	1040	1040	1023	1023	8	34
1040	1022	1040	1022	1041	1041	1023	1023	8	34
1040	1040	1040	1040	1040	1040	1023	1023	8	29
1040	1040	1040	1040	1040	1040	1041	1041	8	24
1040	1040	1040	1040	1041	1041	1023	1023	8	29
1040	1040	1040	1040	1041	1041	1041	1041	8	24
1058	1040	1058	1040	1040	1040	1041	1041	8	18
1058	1040	1058	1040	1041	1041	1041	1041	8	18
1058	1040	1058	1040	1058	1058	1041	1041	8	12
1058	1040	1058	1040	1059	1059	1041	1041	8	12
1058	1058	1058	1058	1058	1058	1041	1041	8	4
1058	1058	1058	1058	1059	1059	1041	1041	8	4
1022	1004	1023	1005	1023	1023	1005	1005	9	57
1022	1004	1023	1005	1023	1023	1006	1006	9	57
1022	1022	1023	1023	1023	1023	1005	1005	9	52
1022	1022	1023	1023	1023	1023	1006	1006	9	52
1022	1022	1023	1023	1023	1023	1023	1023	9	46
1022	1022	1023	1023	1023	1023	1024	1024	9	46
1040	1022	1041	1023	1023	1023	1023	1023	9	41
1040	1022	1041	1023	1023	1023	1024	1024	9	41
1040	1022	1041	1023	1041	1041	1023	1023	9	34
1040	1022	1041	1023	1041	1041	1024	1024	9	34
1040	1040	1041	1041	1041	1041	1023	1023	9	29
1040	1040	1041	1041	1041	1041	1024	1024	9	29
1040	1040	1041	1041	1041	1041	1041	1041	9	24
1040	1040	1041	1041	1041	1041	1042	1042	9	24
1058	1040	1059	1041	1041	1041	1041	1041	9	18
1058	1040	1059	1041	1041	1041	1042	1042	9	18
1058	1040	1059	1041	1059	1059	1041	1041	9	12
1058	1040	1059	1041	1059	1059	1042	1042	9	12
1058	1058	1059	1059	1059	1059	1041	1041	9	4
1058	1058	1059	1059	1059	1059	1042	1042	9	4
1023	1005	1023	1005	1023	1023	1006	1006	10	57
1023	1005	1023	1005	1024	1024	1006	1006	10	57
1023	1023	1023	1023	1023	1023	1006	1006	10	52
1023	1023	1023	1023	1023	1023	1024	1024	10	46
1023	1023	1023	1023	1024	1024	1006	1006	10	52
1023	1023	1023	1023	1024	1024	1024	1024	10	46
1041	1023	1041	1023	1023	1023	1024	1024	10	41
1041	1023	1041	1023	1024	1024	1024	1024	10	41
1041	1023	1041	1023	1041	1041	1024	1024	10	34
1041	1023	1041	1023	1042	1042	1024	1024	10	34
1041	1041	1041	1041	1041	1041	1024	1024	10	29
1041	1041	1041	1041	1041	1041	1042	1042	10	24
1041	1041	1041	1041	1042	1042	1024	1024	10	29
1041	1041	1041	1041	1042	1042	1042	1042	10	24
1059	1041	1059	1041	1041	1041	1042	1042	10	18
1059	1041	1059	1041	1042	1042	1042	1042	10	18
1059	1041	1059	1041	1059	1059	1042	1042	10	12
1059	1041	1059	1041	1060	1060	1042	1042	10	12
1059	1059	1059	1059	1059	1059	1042	1042	10	4
1059	1059	1059	1059	1060	1060	1042	1042	10	4
1023	1005	1024	1006	1024	1024	1006	1006	11	57
1023	1005	1024	1006	1024	1024	1007	1007	11	57
